isbn,name,writer,company,pyear,KDC,img
8809274087104,토이 스토리 2 SE - 아웃케이스 없음,"존 라세터 감독, 돈 리클스 외 목소리",월트디즈니,2010,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809274087203,로보카 폴리 : 5탄,여러 아티스트 (Various Artists) 감독,EBS교육방송,2012,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809274088842,어벤져스,조스 웨던 감독,NA,2012,688,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809274089801,도둑들,최동훈 감독,NA,2013,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809274089832,트와일라잇(1disc) - 아웃케이스 없음,"캐서린 하드윅 감독, 로버트 패틴슨 외 출연",KD미디어(케이디미디어),2010,688.2,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809276102416,늑대아이,"호소다 마모루 감독, 미야자키 아오이 외 목소리",버즈픽쳐스,2013,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809276102683,명탐정 코난:베이커가의 망령,코다마 켄지 감독,NA,2008,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809276102737,명탐정 코난: 수평선상의 음모 - 한국어 더빙판,"야마모토 야스이치로 감독, 강수진 외 목소리",버즈픽쳐스,2013,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809276102850,극장판 명탐정 코난: 탐정들의 진혼가 - 한국어 더빙판,"야마모토 야스이치로 감독, 강수진 외 목소리",버즈픽쳐스,2014,688.6913,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809276104458,해어화 (2disc),"한효주, 유연석, 천우희 (출연), 박흥식 (감독)",아이브엔터테인먼트,2016,688.21,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809276105097,괴물의 아이 - 한국어 더빙 수록,"호소다 마모루 감독, 야쿠쇼 코지 외 목소리",버즈픽쳐스,2016,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809276106230,덕구,"방수인 (감독), 이순재, 정지훈 (출연)",더미디어팩토리,2019,688,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809276106414,이 세상의 한구석에,"카타부치스나오 (감독), 노넨 레나, 호소야 요시마사, 오노 다이스케, 한 메구미 (목소리)",아이브엔터테인먼트,2019,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
