rank,isbn,name,gender,age
2,9788901230801,나의 월급 독립 프로젝트 :3년 만에 30억 벌고 퇴사한 슈퍼개미의 실전 주식투자 생중계,female,30
3,9788972756194,나미야 잡화점의 기적 :히가시노 게이고 장편소설,female,30
4,9788937889714,(추리 천재) 엉덩이 탐정,female,30
4,9788998274795,돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설,female,30
6,9791130620893,돈 공부는 처음이라 :0원부터 시작하는 난생처음 부자 수업,female,30
7,9788937848247,(추리 천재) 엉덩이 탐정,female,30
8,9788954655972,여행의 이유 :김영하 산문,female,30
9,9788934972464,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",female,30
9,9791188248674,"(간단함, 병맛, 솔직함으로 기업의 흥망성쇠를 좌우하는) 90년생이 온다",female,30
11,9791162332542,추리 천재 엉덩이 탐정 5 - 유적에서 날아온 SOS 사건,female,30
12,9788937838750,(추리 천재) 엉덩이 탐정,female,30
13,9788937837654,"정리하는 뇌 :디지털 시대, 정보와 선택 과부하로 뒤엉킨 머릿속과 일상을 정리하는 기술",female,30
13,9791130620459,철학은 어떻게 삶의 무기가 되는가 :불확실한 삶을 돌파하는 50가지 생각 도구,female,30
13,9791158510619,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,female,30
16,9788937853470,(추리 천재) 엉덩이 탐정,female,30
17,9788932919676,죽음 :베르나르 베르베르 장편소설,female,30
17,9791130612249,레버리지 :자본주의 속에 숨겨진 부의 비밀,female,30
17,9791162335123,추리 천재 엉덩이 탐정 6 - 수상한 탐정 사무소 사건,female,30
20,9788925566511,월급쟁이 부자로 은퇴하라 :3년 만에 30년 치 연봉을 번 김 과장의 시스템 마련법,female,30
1,9791135422225,(50대 사건으로 보는) 돈의 역사 =The history of money,female,40
2,9788937889714,(추리 천재) 엉덩이 탐정,female,40
3,9788937853470,(추리 천재) 엉덩이 탐정,female,40
4,9788934972464,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",female,40
4,9788937838750,(추리 천재) 엉덩이 탐정,female,40
6,9791162332542,추리 천재 엉덩이 탐정 5 - 유적에서 날아온 SOS 사건,female,40
7,9791162335123,추리 천재 엉덩이 탐정 6 - 수상한 탐정 사무소 사건,female,40
8,9788937848247,(추리 천재) 엉덩이 탐정,female,40
9,9788965746829,천년의 질문 :조정래 장편소설,female,40
9,9788972756194,나미야 잡화점의 기적 :히가시노 게이고 장편소설,female,40
9,9791162540640,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,female,40
12,9791162339466,(추리 천재) 엉덩이 탐정,female,40
13,9791187481539,앞으로 5년 한국의 미래 시나리오,female,40
14,9788901230801,나의 월급 독립 프로젝트 :3년 만에 30억 벌고 퇴사한 슈퍼개미의 실전 주식투자 생중계,female,40
14,9788933870693,설민석의 조선왕조실록 :대한민국이 선택한 역사 이야기,female,40
14,9788937473135,82년생 김지영 :조남주 장편소설,female,40
14,9788971998557,역사의 역사 =History of writing history,female,40
18,9788901229614,초예측 :세계 석학 8인에게 인류의 미래를 묻다,female,40
19,9788965746836,천년의 질문 :조정래 장편소설,female,40
20,9788934985068,팩트풀니스 :우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유,female,40
1,9788965746836,천년의 질문 :조정래 장편소설,female,50
2,9788965746843,천년의 질문 :조정래 장편소설,female,50
3,9788965746829,천년의 질문 :조정래 장편소설,female,50
4,9788934972464,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",female,50
5,9788934995791,대변동 :무엇을 선택하고 어떻게 변화할 것인가,female,50
5,9788965705468,미중전쟁 :김진명 장편소설,female,50
7,9788934982975,21세기를 위한 21가지 제언 :더 나은 오늘은 어떻게 가능한가,female,50
7,9788952240491,세계에서 가장 자극적인 나라 :짐 로저스의 어떤 예견,female,50
9,9791130620459,철학은 어떻게 삶의 무기가 되는가 :불확실한 삶을 돌파하는 50가지 생각 도구,female,50
10,9788954655699,연필로 쓰기 :김훈 산문,female,50
11,9788965705451,미중전쟁 :김진명 장편소설,female,50
12,9791187192466,예언 =Prediction,female,50
13,9788971998557,역사의 역사 =History of writing history,female,50
14,9788973377947,(趙廷來 大河小說) 太白山脈,female,50
14,9791187481539,앞으로 5년 한국의 미래 시나리오,female,50
16,9791187498384,고요할수록 밝아지는 것들 :혜민 스님과 함께 지혜와 평온으로 가는 길,female,50
17,9791135422225,(50대 사건으로 보는) 돈의 역사 =The history of money,female,50
18,9788937473135,82년생 김지영 :조남주 장편소설,female,50
18,9788965746669,당신이 옳다 :정혜신의 적정심리학,female,50
20,9788965708056,이게 경제다 :한국 경제가 확 잡히는 최배근 교수의 팩트 저격,female,50
1,9788965746843,천년의 질문 :조정래 장편소설,female,60
2,9788965746836,천년의 질문 :조정래 장편소설,female,60
3,9788965746829,천년의 질문 :조정래 장편소설,female,60
4,9788965705468,미중전쟁 :김진명 장편소설,female,60
5,9788965705451,미중전쟁 :김진명 장편소설,female,60
6,9788934995791,대변동 :무엇을 선택하고 어떻게 변화할 것인가,female,60
